HostName,Https,RestType,Index,Type,Action,RestParameters,User,UserValue,CommitMessage,CommitMessageValue,Branch,BranchValue,sha,shaValue,Repository,RepositoryValue,WorkItemResolved,WorkItemResolvedValue,Team,TeamValue,Priority,PriorityValue,WorkItemCreated,WorkItemCreatedValue,WorkItemType,WorkItemTypeValue,Artifact,ArtifactValue,WorkItem,WorkItemValue,FixVersion,FixVersionValue,TimeOut,ResponseCode,ExpectedResult
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-58037,User,Dermot Fogarty,CommitMessage,TORF-58037: Heartbeat - Upgrade cleanroom,Branch,master,sha,045b4b17f975d28a7d73557dc3ce435ae4c5e14e,Repository,OSS/com.ericsson.itpf.deployment/ENM_INST,WorkItemResolved,2015-07-10T18:49:10.000+0200,Team,Deliverance,Priority,Minor,WorkItemCreated,2015-06-04T12:09:24.000+0200,WorkItemType,Story,Artifact,ERICenminst_CXP9030877,WorkItem,TORF-58037,FixVersion,15B,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-40585,User,Piotr Kania,CommitMessage,TORF-40585: Replacement procedure to add encrypted passwords to global.properties,Branch,master,sha,bf8897ee0f08147c495232511cf051eadae7b7b5,Repository,OSS/com.ericsson.itpf.deployment/ENM_INST,WorkItemResolved,1970-01-01T01:00:00.000Z,Team,Deliverance,Priority,Major,WorkItemCreated,2015-01-22T16:37:07.000+0100,WorkItemType,Story,Artifact,ERICenminst_CXP9030877,WorkItem,TORF-40585,FixVersion,16B_Dep,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-47712,User,Jonathan Bliss,CommitMessage,TORF-47712: CM CLI - Placeholder - Measure performance on 5K Cells Network,Branch,master,sha,f10eb29325fc289ef62b7508c10435b3c89e0381,Repository,OSS/com.ericsson.oss.services.cm/cm-editor,WorkItemResolved,2015-08-24T10:12:19.000+0200,Team,Team America,Priority,Minor,WorkItemCreated,2015-03-18T21:41:43.000+0100,WorkItemType,Story,Artifact,ERICcmeditor_CXP9031234,WorkItem,TORF-47712,FixVersion,16A,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-42832,User,Jonathan Bliss,CommitMessage,TORF-42832: CM CLI - Support for HA to ensure all commands and table data are reported back to the user,Branch,master,sha,8839ae6cb89383774e004d7b91df14bedc49640a,Repository,OSS/com.ericsson.oss.services.cm/cm-editor,WorkItemResolved,1970-01-01T01:00:00.000Z,Team,Team America,Priority,Minor,WorkItemCreated,2015-02-09T12:05:17.000+0100,WorkItemType,Story,Artifact,ERICcmeditor_CXP9031234,WorkItem,TORF-42832,FixVersion,16A,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-43076,User,Jonathan Bliss,CommitMessage,TORF-43076: CMCLI - Test search of real ERBS node,Branch,master,sha,a41e70f8ab02d529cb2caafc17df68bc54fa5784,Repository,OSS/com.ericsson.oss.services.cm/cm-editor,WorkItemResolved,2015-07-17T12:11:57.000+0200,Team,Team America,Priority,Minor,WorkItemCreated,2015-02-11T11:55:35.000+0100,WorkItemType,Story,Artifact,ERICcmeditor_CXP9031234,WorkItem,TORF-43076,FixVersion,15B,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-60287,User,Brendan Cleary,CommitMessage,"TORF-60287: As Hyperic is not covered by a 3PP licence, it must be removed as an RPM dependency from CM Serv SG RPM",Branch,master,sha,39655681c9ee20e061a6d6811215f0b3717dabeb,Repository,OSS/com.ericsson.oss.servicegroupcontainers/cmservice,WorkItemResolved,2015-07-20T17:02:29.000+0200,Team,Team America,Priority,Major,WorkItemCreated,2015-06-16T16:26:20.000+0200,WorkItemType,Story,Artifact,ERICenmsgcmservice_CXP9031573,WorkItem,TORF-60287,FixVersion,15B,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-59819,User,Jonathan Bliss,CommitMessage,TORF-59819: Launcher - Placeholder - Run performance tests against 1000 concurrent users,Branch,master,sha,31f129c01979c30f09e5a24ffd7d7800ed379b0d,Repository,OSS/com.ericsson.nms.pres/TorLauncher,WorkItemResolved,1970-01-01T01:00:00.000Z,Team,Mavericks,Priority,Major,WorkItemCreated,2015-06-12T13:34:50.000+0200,WorkItemType,Story,Artifact,ERIClauncher_CXP9030204,WorkItem,TORF-59819,FixVersion,16B,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-54645,User,Eoghan Conway,CommitMessage,TORF-54645: Network Explorer - Prepare testware for Long Loop,Branch,master,sha,13c41584d6d36907e99fc4439e6b1ae195fd1eb6,Repository,OSS/com.ericsson.nms.pres/networkExplorer,WorkItemResolved,2015-06-12T15:21:04.000+0200,Team,Mavericks,Priority,Blocker,WorkItemCreated,2015-05-11T17:41:54.000+0200,WorkItemType,Story,Artifact,ERICnetworkexplorer_CXP9030791,WorkItem,TORF-54645,FixVersion,15B,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-32561,User,Raman Kohli,CommitMessage,TORF-32561: Network Explorer : Move CM Reader/ Writer and DPS into NetEx Service Group,Branch,master,sha,79ab332a0dbda6396f9a875fc20f3adfbd2b02c4,Repository,OSS/com.ericsson.nms.pres/networkExplorer,WorkItemResolved,2015-08-17T11:08:23.000+0200,Team,Mavericks,Priority,Critical,WorkItemCreated,2014-10-23T16:19:46.000+0200,WorkItemType,Story,Artifact,ERICnetworkexplorer_CXP9030473,WorkItem,TORF-32561,FixVersion,16A,80,OK,TRUE
dockerElasticSearchGet,FALSE,GET,ci-events,scm,_search,q=WorkItem:TORF-41852,User,Ashish Singh Tomar,CommitMessage,"TORF-41852: Set ""defined"" value to ""NE"" in various transformers",Branch,master,sha,b60221ddf2a40ea7d77da6f0c102aeca6105fde9,Repository,OSS/com.ericsson.oss.mediation.modeling.momtools/Mom-Xml-Transformer,WorkItemResolved,2015-05-28T12:12:40.000+0200,Team,Looney Toons,Priority,Minor,WorkItemCreated,2015-01-29T12:20:18.000+0100,WorkItemType,Story,Artifact,ERICmomxmltransfomer_CXP9030619,WorkItem,TORF-41852,FixVersion,15B,80,OK,TRUE
